problem_id,evol_code_10_0_dsc,evol_code_plus_general_9_7_0_3_dsc
HumanEval_70_strange_sort_list,1,1
HumanEval_71_triangle_area,1,1
HumanEval_72_will_it_fly,1,1
HumanEval_73_smallest_change,1,1
HumanEval_74_total_match,1,1
HumanEval_75_is_multiply_prime,1,1
HumanEval_76_is_simple_power,1,1
HumanEval_77_iscube,1,1
HumanEval_78_hex_key,1,1
HumanEval_79_decimal_to_binary,0,0
HumanEval_80_is_happy,1,1
HumanEval_81_numerical_letter_grade,1,1
HumanEval_82_prime_length,1,1
HumanEval_83_starts_one_ends,0,0
HumanEval_84_solve,1,1
HumanEval_85_add,1,1
HumanEval_86_anti_shuffle,1,1
HumanEval_87_get_row,1,1
HumanEval_88_sort_array,1,1
HumanEval_89_encrypt,1,1
HumanEval_90_next_smallest,1,1
HumanEval_91_is_bored,0,0
HumanEval_92_any_int,1,1
HumanEval_93_encode,1,1
HumanEval_94_skjkasdkd,1,1
HumanEval_95_check_dict_case,1,1
HumanEval_96_count_up_to,1,1
HumanEval_97_multiply,1,1
HumanEval_98_count_upper,1,1
HumanEval_99_closest_integer,1,1
HumanEval_100_make_a_pile,1,1
HumanEval_101_words_string,0,0
HumanEval_102_choose_num,1,1
HumanEval_103_rounded_avg,1,1
HumanEval_104_unique_digits,0,0
HumanEval_105_by_length,1,1
HumanEval_106_f,1,1
HumanEval_107_even_odd_palindrome,1,1
HumanEval_108_count_nums,1,1
HumanEval_109_move_one_ball,1,1
HumanEval_110_exchange,1,1
HumanEval_111_histogram,0,0
HumanEval_112_reverse_delete,1,1
HumanEval_113_odd_count,1,1
HumanEval_114_minSubArraySum,0,0
HumanEval_115_max_fill,0,1
HumanEval_116_sort_array,0,0
HumanEval_117_select_words,0,0
HumanEval_118_get_closest_vowel,1,1
HumanEval_119_match_parens,1,1
HumanEval_120_maximum,0,0
HumanEval_121_solution,0,0
HumanEval_122_add_elements,1,1
HumanEval_123_get_odd_collatz,0,1
HumanEval_124_valid_date,0,0
HumanEval_125_split_words,0,0
HumanEval_126_is_sorted,1,1
HumanEval_127_intersection,1,1
HumanEval_128_prod_signs,1,1
HumanEval_129_minPath,1,1
HumanEval_130_tri,1,1
HumanEval_131_digits,1,1
HumanEval_132_is_nested,0,0
HumanEval_133_sum_squares,1,1
HumanEval_134_check_if_last_char_is_a_letter,1,1
HumanEval_135_can_arrange,0,0
HumanEval_136_largest_smallest_integers,0,0
HumanEval_137_compare_one,0,0
HumanEval_138_is_equal_to_sum_even,0,0
HumanEval_139_special_factorial,0,0
HumanEval_140_fix_spaces,1,1
HumanEval_141_file_name_check,0,0
HumanEval_142_sum_squares,0,0
HumanEval_143_words_in_sentence,0,0
HumanEval_144_simplify,0,0
HumanEval_145_order_by_points,1,1
HumanEval_146_specialFilter,0,0
HumanEval_147_get_max_triples,0,0
HumanEval_148_bf,0,0
HumanEval_149_sorted_list_sum,0,0
HumanEval_150_x_or_y,0,0
HumanEval_151_double_the_difference,1,1
HumanEval_152_compare,1,1
HumanEval_153_Strongest_Extension,0,0
HumanEval_154_cycpattern_check,0,0
HumanEval_155_even_odd_count,1,1
HumanEval_156_int_to_mini_roman,0,0
HumanEval_157_right_angle_triangle,0,0
HumanEval_158_find_max,0,0
HumanEval_159_eat,0,0
HumanEval_160_do_algebra,0,0
HumanEval_161_solve,0,0
HumanEval_162_string_to_md5,0,0
HumanEval_163_generate_integers,0,0
