problem_id,oss_algorithmic_practical_0_10_run_1_cq,oss_algorithmic_practical_2_8_run_1_cq,oss_algorithmic_practical_5_5_run_1_cq,oss_algorithmic_practical_8_2_run_1_cq,oss_algorithmic_practical_10_0_run_1_cq,oss_algorithmic_practical_0_10_run_2_cq,oss_algorithmic_practical_2_8_run_2_cq,oss_algorithmic_practical_5_5_run_2_cq,oss_algorithmic_practical_8_2_run_2_cq,oss_algorithmic_practical_10_0_run_2_cq,oss_algorithmic_practical_0_10_run_3_cq,oss_algorithmic_practical_2_8_run_3_cq,oss_algorithmic_practical_5_5_run_3_cq,oss_algorithmic_practical_8_2_run_3_cq,oss_algorithmic_practical_10_0_run_3_cq
HumanEval/51,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
HumanEval/52,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/54,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/55,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1
HumanEval/56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HumanEval/57,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/60,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
HumanEval/61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HumanEval/62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/63,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1
HumanEval/64,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0
HumanEval/65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/70,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
HumanEval/71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/73,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
HumanEval/74,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HumanEval/75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/76,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
HumanEval/77,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/78,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HumanEval/80,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0
HumanEval/81,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
HumanEval/82,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HumanEval/83,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1
HumanEval/84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/86,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/89,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
HumanEval/90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/91,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
HumanEval/92,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/94,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/98,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1
HumanEval/99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/100,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/101,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HumanEval/102,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
HumanEval/103,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
HumanEval/104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HumanEval/105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HumanEval/107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/109,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/110,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
HumanEval/111,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0
HumanEval/112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HumanEval/113,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
HumanEval/114,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HumanEval/116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/117,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1
HumanEval/118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/119,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HumanEval/120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/121,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1
HumanEval/122,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0
HumanEval/123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HumanEval/124,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
HumanEval/125,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/126,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
HumanEval/127,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0
HumanEval/128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HumanEval/130,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1
HumanEval/131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/132,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1
HumanEval/133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/162,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
