problem_id,evol_algorithmic_practical_0_10_run_1_dsc,evol_algorithmic_practical_2_8_run_1_dsc,evol_algorithmic_practical_5_5_run_1_dsc,evol_algorithmic_practical_8_2_run_1_dsc,evol_algorithmic_practical_10_0_run_1_dsc,evol_algorithmic_practical_0_10_run_2_dsc,evol_algorithmic_practical_2_8_run_2_dsc,evol_algorithmic_practical_5_5_run_2_dsc,evol_algorithmic_practical_8_2_run_2_dsc,evol_algorithmic_practical_10_0_run_2_dsc,evol_algorithmic_practical_0_10_run_3_dsc,evol_algorithmic_practical_2_8_run_3_dsc,evol_algorithmic_practical_5_5_run_3_dsc,evol_algorithmic_practical_8_2_run_3_dsc,evol_algorithmic_practical_10_0_run_3_dsc
HumanEval/86,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
HumanEval/87,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HumanEval/88,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
HumanEval/89,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
HumanEval/90,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/91,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/95,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HumanEval/97,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0
HumanEval/98,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/100,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
HumanEval/101,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/104,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
HumanEval/105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/106,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0
HumanEval/107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/108,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
HumanEval/109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/110,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1
HumanEval/111,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
HumanEval/112,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
HumanEval/113,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0
HumanEval/114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HumanEval/115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/116,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
HumanEval/117,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/118,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
HumanEval/119,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/120,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
HumanEval/121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/122,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
HumanEval/123,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/124,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0
HumanEval/125,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
HumanEval/126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/128,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
HumanEval/129,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
HumanEval/130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/131,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/132,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/134,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HumanEval/135,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
HumanEval/136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HumanEval/139,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HumanEval/140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HumanEval/146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HumanEval/156,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/162,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/163,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
