problem_id,evol_algorithmic_practical_0_10_run_1_cq,evol_algorithmic_practical_2_8_run_1_cq,evol_algorithmic_practical_5_5_run_1_cq,evol_algorithmic_practical_8_2_run_1_cq,evol_algorithmic_practical_10_0_run_1_cq,evol_algorithmic_practical_0_10_run_2_cq,evol_algorithmic_practical_2_8_run_2_cq,evol_algorithmic_practical_5_5_run_2_cq,evol_algorithmic_practical_8_2_run_2_cq,evol_algorithmic_practical_10_0_run_2_cq,evol_algorithmic_practical_0_10_run_3_cq,evol_algorithmic_practical_2_8_run_3_cq,evol_algorithmic_practical_5_5_run_3_cq,evol_algorithmic_practical_8_2_run_3_cq,evol_algorithmic_practical_10_0_run_3_cq
HumanEval/72,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HumanEval/74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/76,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
HumanEval/77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HumanEval/80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HumanEval/81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/82,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1
HumanEval/83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HumanEval/84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/85,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1
HumanEval/86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/87,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
HumanEval/88,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1
HumanEval/89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/90,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
HumanEval/91,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
HumanEval/92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/94,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
HumanEval/95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/96,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
HumanEval/97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/98,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
HumanEval/99,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
HumanEval/100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/103,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
HumanEval/104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HumanEval/105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HumanEval/107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HumanEval/108,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/109,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
HumanEval/110,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
HumanEval/111,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/112,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/113,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/114,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
HumanEval/115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/116,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
HumanEval/117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/118,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/119,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HumanEval/120,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1
HumanEval/121,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HumanEval/122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/123,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
HumanEval/124,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1
HumanEval/125,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/126,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1
HumanEval/127,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/129,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
HumanEval/130,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HumanEval/131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/132,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
HumanEval/133,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
HumanEval/134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
