problem_id,oss_algorithmic_practical_0_10_run_1_dsc,oss_algorithmic_practical_2_8_run_1_dsc,oss_algorithmic_practical_5_5_run_1_dsc,oss_algorithmic_practical_8_2_run_1_dsc,oss_algorithmic_practical_10_0_run_1_dsc,oss_algorithmic_practical_0_10_run_2_dsc,oss_algorithmic_practical_2_8_run_2_dsc,oss_algorithmic_practical_5_5_run_2_dsc,oss_algorithmic_practical_8_2_run_2_dsc,oss_algorithmic_practical_10_0_run_2_dsc,oss_algorithmic_practical_0_10_run_3_dsc,oss_algorithmic_practical_2_8_run_3_dsc,oss_algorithmic_practical_5_5_run_3_dsc,oss_algorithmic_practical_8_2_run_3_dsc,oss_algorithmic_practical_10_0_run_3_dsc
HumanEval/51,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
HumanEval/52,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/53,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
HumanEval/54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HumanEval/55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/56,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
HumanEval/57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/59,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1
HumanEval/60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/61,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
HumanEval/62,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
HumanEval/63,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
HumanEval/64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HumanEval/65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/67,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/69,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
HumanEval/70,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HumanEval/75,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1
HumanEval/76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/78,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0
HumanEval/79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/80,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HumanEval/82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/84,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/85,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
HumanEval/86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/88,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HumanEval/89,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
HumanEval/90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/91,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/92,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0
HumanEval/93,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0
HumanEval/94,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HumanEval/95,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1
HumanEval/96,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
HumanEval/97,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/99,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/100,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/101,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1
HumanEval/102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/104,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/106,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
HumanEval/107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/108,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/109,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/110,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/113,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
HumanEval/114,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/115,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
HumanEval/116,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/118,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1
HumanEval/119,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
HumanEval/120,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HumanEval/122,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
HumanEval/123,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/125,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
HumanEval/126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/127,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0
HumanEval/128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/130,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1
HumanEval/131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/147,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/150,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
HumanEval/151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/159,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
HumanEval/160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
